Geo,Week_Start_Date,Week,Unit_Sales,FK_Search_Volume,Total_Nothing_TV_GRPs,Total_TV_Impressions,Total_Nothing_TV_Spends,Print_Spends,Print_Impressions,Competition_TV_GRPs,Competition_Total_Media_Spends,GQV,Flag_Product_Launch_Phone2,Flag_Product_Launch_Phone2a,Digital_Impressions_excl_Sport,Digital_Sports_Impressions,Flag_Product_Launch,Digital_Spends_Sports,Digital_Spends_Excl_Sports,Population,Flag_Product_Launch_CMFP1
Geo0,2024-05-12,20_2024,8152,891676,0,0,0,0,0,229,926776322,1752599,0,0,0,0,0,0,0,50000000,0
Geo0,2024-05-19,21_2024,7142,815540,0,0,0,0,0,213,878057208,1752599,0,0,0,0,0,0,0,50000000,0
Geo0,2024-05-26,22_2024,7932,897904,0,0,0,0,0,242,839546795,1756898,0,0,44407055,40116737,0,10000000,1305759,50000000,0
Geo0,2024-06-02,23_2024,10314,913344,0,0,0,0,0,235,864167414,1782692,0,0,269895697,42017331,0,8146560,8912724,50000000,0
Geo0,2024-06-09,24_2024,9761,955188,0,0,0,0,0,316,893510578,1782692,0,0,385948568,110423864,0,20609221,14990658,50000000,0
Geo0,2024-06-16,25_2024,7759,913808,0,0,0,0,0,345,1007867172,1782692,0,0,102142331,109340052,0,21252771,3852118,50000000,0
Geo0,2024-06-23,26_2024,7168,851836,0,0,0,0,0,454,1398505731,1782692,0,0,8921607,153694672,0,29991450,1204417,50000000,0
Geo0,2024-06-30,27_2024,8129,1064012,76,47898281,5010698,0,0,242,978634334,2452993,0,0,78572998,0,0,0,16796687,50000000,0
Geo0,2024-07-07,28_2024,55402,2936112,267,167489716,33351580,17521126,3101000,720,1359730852,2564710,0,0,769023591,0,1,0,23322908,50000000,1
Geo0,2024-07-14,29_2024,25751,3079752,305,191114948,23442332,5853874,1982000,1064,745687998,2564710,0,0,225712330,0,0,0,11841053,50000000,0
Geo0,2024-07-21,30_2024,20309,2546914,173,108332888,16368544,0,0,762,822081630,2564710,0,0,106336075,0,0,0,4116939,50000000,0
Geo0,2024-07-28,31_2024,12072,1101352,13,7979891,5382282,0,0,600,808093740,2326537,0,0,102843313,0,0,0,18885034,50000000,0
