Geo,Week_Start_Date,Unit_Sales,Channel0_Impressions,Channel0_Spends,Channel1_Spends,Channel1_Impressions,Channel2_Impressions,Channel2_Spends,Channel3_Impressions,Channel3_Spends,Channel4_Impressions,Channel4_Spends,Channel5_Impressions,Channel5_Spends,Flag_Product_Launch,GQV,Population
Geo0,1/7/2024,1438,0,0,0,0,0,0,0,0,0,0,0,0,0,962459,500000000
Geo0,1/14/2024,2771,0,0,0,0,0,0,0,0,0,0,0,0,0,962459,500000000
Geo0,1/21/2024,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,962459,500000000
Geo0,1/28/2024,1860,0,0,0,0,0,0,0,0,0,0,0,0,0,1097210,500000000
Geo0,2/4/2024,2334,0,0,0,0,0,0,0,0,0,0,0,0,0,1276877,500000000
Geo0,2/11/2024,2228,0,0,0,0,0,0,0,0,0,0,0,0,0,1276877,500000000
Geo0,2/18/2024,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,1276877,500000000
Geo0,2/25/2024,1870,98469649,9957144,0,0,30432480,1958529,2316358,296466,0,0,0,0,0,1664825,500000000
Geo0,3/3/2024,2135,196803081,38657590,0,0,132215583,4487935,58882728,6205115,0,0,0,0,0,2634694,500000000
Geo0,3/10/2024,82525,174350957,41449947,20662384,6376000,100927446,2135137,28636844,2386295,0,0,0,0,1,2634694,500000000
Geo0,3/17/2024,20576,204889454,64035864,6080755,2414000,24416281,407444,3168743,253456,0,0,13001866,2870991,0,2634694,500000000
Geo0,3/24/2024,17747,87714957,31282154,0,0,25921889,376578,0,0,0,0,77572197,17129009,0,2634694,500000000
Geo0,3/31/2024,15165,4989832,1903894,0,0,8022995,226863,4199723,449674,0,0,0,0,0,2004243,500000000
Geo0,4/7/2024,11022,0,0,0,0,19722820,503796,9635561,1014844,0,0,0,0,0,1899168,500000000
Geo0,4/14/2024,10611,0,0,0,0,24808718,589289,8881004,958323,0,0,0,0,0,1899168,500000000
Geo0,4/21/2024,8607,0,0,0,0,29450726,658573,8108980,881772,0,0,0,0,0,1899168,500000000
Geo0,4/28/2024,19608,0,0,0,0,6605912,180656,2149867,232175,0,0,0,0,0,1815414,500000000
Geo0,5/5/2024,13530,0,0,0,0,0,0,0,0,0,0,0,0,0,1752599,500000000
Geo0,5/12/2024,8152,0,0,0,0,0,0,0,0,0,0,0,0,0,1752599,500000000
Geo0,5/19/2024,7142,0,0,0,0,0,0,0,0,0,0,0,0,0,1752599,500000000
Geo0,5/26/2024,7932,0,0,0,0,17379803,234143,6676084,676410,0,0,40116737,10000000,0,1756898,500000000
Geo0,6/2/2024,10314,0,0,0,0,85835423,1244300,34717993,3616099,42017331,8146560,0,0,0,1782692,500000000
Geo0,6/9/2024,9761,0,0,0,0,146891490,3210506,48168914,5510046,110423864,20609221,0,0,0,1782692,500000000
Geo0,6/16/2024,7759,0,0,0,0,31745765,683333,4641176,576321,109340052,21252771,0,0,0,1782692,500000000
Geo0,6/23/2024,7168,0,0,0,0,0,0,0,0,153694672,29991450,0,0,0,1782692,500000000
Geo0,6/30/2024,8129,47898281,5010698,0,0,52816117,738863,18083618,1777453,0,0,0,0,0,2452993,500000000
Geo0,7/7/2024,55402,167489716,33351580,17521126,3101000,239984703,2643390,151925357,15054688,0,0,0,0,1,2564710,500000000
Geo0,7/14/2024,25751,191114948,23442332,5853874,1982000,129504435,2020701,37384716,5490888,0,0,0,0,0,2564710,500000000
Geo0,7/21/2024,20309,108332888,16368544,0,0,84214953,1056363,10499779,1581423,0,0,0,0,0,2564710,500000000
Geo0,7/28/2024,12072,7979891,5382282,0,0,54103184,1021729,11758705,1918477,0,0,0,0,0,2326537,500000000
